article_slug,placeholder_file,original_image_url
licence-issues,licence-issues-01.png,https://framerusercontent.com/images/ttL56Fn0jIggSREJD2EG6rFIZWo.png
symbol-subscription-issues,symbol-subscription-issues-01.png,https://framerusercontent.com/images/tSmgYuJROeKX2LsYWZ5nGnc0b4.png
symbol-subscription-issues,symbol-subscription-issues-02.png,https://framerusercontent.com/images/yPjzpQfr14Yn9ZKzdtZa4ECG80.png
cache-issues-deepdom,cache-issues-deepdom-01.png,https://framerusercontent.com/images/mV4Plv33gkhHLoSOE38VTIKpfTE.png
cache-issues-deepdom,cache-issues-deepdom-02.png,https://framerusercontent.com/images/YW2bkLn1lYMStQJm1u479TZePw.png
installation-and-first-configuration,installation-and-first-configuration-01.png,https://framerusercontent.com/images/0QWDaYsVXHRAUaHSpNia4koQejA.png
installation-and-first-configuration,installation-and-first-configuration-02.png,https://framerusercontent.com/images/FfniwqGYxwLzONgdDy93WO1t7s.png
installation-and-first-configuration,installation-and-first-configuration-03.png,https://framerusercontent.com/images/pi7CuVT4AbqygKYvNIWmJUR9k.png
installation-and-first-configuration,installation-and-first-configuration-04.png,https://framerusercontent.com/images/YW3BcBTEMxERopPRJEb6dGK6jCk.png
installation-and-first-configuration,installation-and-first-configuration-05.png,https://framerusercontent.com/images/CFVg4ueJJOu3FVL7INdVCHWbZTw.png
installation-and-first-configuration,installation-and-first-configuration-06.png,https://framerusercontent.com/images/mJvsEBOZaQjbUQLfzR53g1tvGCQ.png
installation-and-first-configuration,installation-and-first-configuration-07.png,https://framerusercontent.com/images/UMXEYfZp1DmgEAFWPvSOpL180c.png
installation-and-first-configuration,installation-and-first-configuration-08.png,https://framerusercontent.com/images/qRScHxWkMpDwUXz6p41ZTnEyN8g.png
installation-and-first-configuration,installation-and-first-configuration-09.png,https://framerusercontent.com/images/k5Uf1radZ9GyDAcjHK6LbKT4VY.png
installation-and-first-configuration,installation-and-first-configuration-10.png,https://framerusercontent.com/images/OC0uGxlIC5iGzYeHAH2DzkcHGw.png
installation-and-first-configuration,installation-and-first-configuration-11.png,https://framerusercontent.com/images/lImB2zoPdY32vnTKmiVztjQwLc4.png
installation-and-first-configuration,installation-and-first-configuration-12.png,https://framerusercontent.com/images/Orf82iKjk5KkebF1fxAVlriZkXM.png
installation-and-first-configuration,installation-and-first-configuration-13.png,https://framerusercontent.com/images/amhlCQUscXE2QeOYC2LhpLaDcM.png
installation-and-first-configuration,installation-and-first-configuration-14.png,https://framerusercontent.com/images/NdSXDWxRTLbA7D28lVG0qxRYu8.jpg
general-settings,general-settings-01.png,https://framerusercontent.com/images/PCnP5vFbyroKbDkaJpOY5HPtj4.png
general-settings,general-settings-02.png,https://framerusercontent.com/images/LdDVqql0VgPd8nEbXcXKhr37gpI.jpg
general-settings,general-settings-03.png,https://framerusercontent.com/images/PnUZzO3DLm9JvnRr7WjctvugQjQ.png
general-settings,general-settings-04.png,https://framerusercontent.com/images/78gxnKV2OkmR24kwtFMZgY4ZDk.png
general-settings,general-settings-05.png,https://framerusercontent.com/images/TTK1hEYMXsPX68OS7dYWYWI1U4.png
general-settings,general-settings-06.png,https://framerusercontent.com/images/0Q1xLeLuw32iQ3XvgEjxaBxexQ.png
general-settings,general-settings-07.png,https://framerusercontent.com/images/PudnO5BaHbS8kpLy8UJA8emXjE.png
general-settings,general-settings-08.png,https://framerusercontent.com/images/8djSXE7izVPSnvWoZIWEs2FZEs.png
general-settings,general-settings-09.png,https://framerusercontent.com/images/lKtORhqQnLi58xW7Jvekxn1qd8.png
general-settings,general-settings-10.png,https://framerusercontent.com/images/G2bVkpMTePvnEsvqwW7QbHwJg4o.png
general-settings,general-settings-11.png,https://framerusercontent.com/images/cppNn83s5JkzfN4ieQ98w6HytvE.png
general-settings,general-settings-12.png,https://framerusercontent.com/images/9TekNI1DQbVFDS28HhuzxaAs64.png
general-settings,general-settings-13.png,https://framerusercontent.com/images/ePthzKoe84vOsB2i5YruCL9is.png
general-settings,general-settings-14.png,https://framerusercontent.com/images/FAQJ8JOjMcMVPcTJldENYYyrXw.png
general-settings,general-settings-15.png,https://framerusercontent.com/images/AZoiimPZHPvmnMa1A4Z40PlcsM.png
how-to-add-a-new-connection,how-to-add-a-new-connection-01.png,https://framerusercontent.com/images/tSmgYuJROeKX2LsYWZ5nGnc0b4.png
how-to-add-a-new-connection,how-to-add-a-new-connection-02.png,https://framerusercontent.com/images/Y3cB4O3HY3dZ7YUKftl38BXpq7o.png
how-to-add-markets-correctly,how-to-add-markets-correctly-01.png,https://framerusercontent.com/images/5GjVzokV7Bz7jCZP6X5lhbgbxks.png
how-to-add-markets-correctly,how-to-add-markets-correctly-02.png,https://framerusercontent.com/images/dAmT2Kh7IrL3mgwdDqjy2o3k.png
